sample_id,SampleName,BioSample,BioProject
137869,102.100.100/137869,SAMN43264007,PRJNA1122929
137868,102.100.100/137868,SAMN43264006,PRJNA1122929
137867,102.100.100/137867,SAMN43264005,PRJNA1122929
137767,102.100.100/137767,SAMN43263939,PRJNA1122929
137866,102.100.100/137866,SAMN43264004,PRJNA1122929
137863,102.100.100/137863,SAMN43264003,PRJNA1122929
137860,102.100.100/137860,SAMN43264000,PRJNA1122929
137857,102.100.100/137857,SAMN43263999,PRJNA1122929
137856,102.100.100/137856,SAMN43263998,PRJNA1122929
137855,102.100.100/137855,SAMN43263997,PRJNA1122929
137854,102.100.100/137854,SAMN43263996,PRJNA1122929
137851,102.100.100/137851,SAMN43263995,PRJNA1122929
137766,102.100.100/137766,SAMN43263938,PRJNA1122929
137850,102.100.100/137850,SAMN43263994,PRJNA1122929
137849,102.100.100/137849,SAMN43263993,PRJNA1122929
137848,102.100.100/137848,SAMN43263992,PRJNA1122929
137845,102.100.100/137845,SAMN43263991,PRJNA1122929
137758,102.100.100/137758,SAMN43263932,PRJNA1122929
137765,102.100.100/137765,SAMN43263937,PRJNA1122929
137815,102.100.100/137815,SAMN43263971,PRJNA1122929
137830,102.100.100/137830,SAMN43263980,PRJNA1122929
137827,102.100.100/137827,SAMN43263979,PRJNA1122929
137826,102.100.100/137826,SAMN43263978,PRJNA1122929
137825,102.100.100/137825,SAMN43263977,PRJNA1122929
137824,102.100.100/137824,SAMN43263976,PRJNA1122929
137821,102.100.100/137821,SAMN43263975,PRJNA1122929
137764,102.100.100/137764,SAMN43263936,PRJNA1122929
137820,102.100.100/137820,SAMN43263974,PRJNA1122929
137819,102.100.100/137819,SAMN43263973,PRJNA1122929
137802,102.100.100/137802,SAMN43263962,PRJNA1122929
137761,102.100.100/137761,SAMN43263935,PRJNA1122929
137801,102.100.100/137801,SAMN43263961,PRJNA1122929
137807,102.100.100/137807,SAMN43263965,PRJNA1122929
137808,102.100.100/137808,SAMN43263966,PRJNA1122929
137809,102.100.100/137809,SAMN43263967,PRJNA1122929
137812,102.100.100/137812,SAMN43263968,PRJNA1122929
137813,102.100.100/137813,SAMN43263969,PRJNA1122929
137814,102.100.100/137814,SAMN43263970,PRJNA1122929
137831,102.100.100/137831,SAMN43263981,PRJNA1122929
137832,102.100.100/137832,SAMN43263982,PRJNA1122929
137833,102.100.100/137833,SAMN43263983,PRJNA1122929
137836,102.100.100/137836,SAMN43263984,PRJNA1122929
137837,102.100.100/137837,SAMN43263985,PRJNA1122929
137838,102.100.100/137838,SAMN43263986,PRJNA1122929
137839,102.100.100/137839,SAMN43263987,PRJNA1122929
137842,102.100.100/137842,SAMN43263988,PRJNA1122929
137843,102.100.100/137843,SAMN43263989,PRJNA1122929
137844,102.100.100/137844,SAMN43263990,PRJNA1122929
400946,102.100.100/400946,SAMN43264494,PRJNA1122929
138085,102.100.100/138085,SAMN43264314,PRJNA1122929
138084,102.100.100/138084,SAMN43264313,PRJNA1122929
138083,102.100.100/138083,SAMN43264312,PRJNA1122929
138100,102.100.100/138100,SAMN43264329,PRJNA1122929
400945,102.100.100/400945,SAMN43264493,PRJNA1122929
138074,102.100.100/138074,SAMN43264303,PRJNA1122929
400939,102.100.100/400939,SAMN43264488,PRJNA1122929
400882,102.100.100/400882,SAMN43264487,PRJNA1122929
400942,102.100.100/400942,SAMN43264491,PRJNA1122929
137806,102.100.100/137806,SAMN43263964,PRJNA1122929
137803,102.100.100/137803,SAMN43263963,PRJNA1122929
137800,102.100.100/137800,SAMN43263960,PRJNA1122929
137797,102.100.100/137797,SAMN43263959,PRJNA1122929
137796,102.100.100/137796,SAMN43263958,PRJNA1122929
137795,102.100.100/137795,SAMN43263957,PRJNA1122929
137794,102.100.100/137794,SAMN43263956,PRJNA1122929
137791,102.100.100/137791,SAMN43263955,PRJNA1122929
137790,102.100.100/137790,SAMN43263954,PRJNA1122929
137789,102.100.100/137789,SAMN43263953,PRJNA1122929
137782,102.100.100/137782,SAMN43263948,PRJNA1122929
137939,102.100.100/137939,SAMN43264050,PRJNA1122929
137938,102.100.100/137938,SAMN43264049,PRJNA1122929
137934,102.100.100/137934,SAMN43264048,PRJNA1122929
138055,102.100.100/138055,SAMN43264284,PRJNA1122929
138056,102.100.100/138056,SAMN43264285,PRJNA1122929
138063,102.100.100/138063,SAMN43264292,PRJNA1122929
138064,102.100.100/138064,SAMN43264293,PRJNA1122929
138068,102.100.100/138068,SAMN43264297,PRJNA1122929
138069,102.100.100/138069,SAMN43264298,PRJNA1122929
138177,102.100.100/138177,SAMN43264404,PRJNA1122929
138183,102.100.100/138183,SAMN43264409,PRJNA1122929
138184,102.100.100/138184,SAMN43264410,PRJNA1122929
138194,102.100.100/138194,SAMN43264420,PRJNA1122929
138195,102.100.100/138195,SAMN43264421,PRJNA1122929
138239,102.100.100/138239,SAMN43264464,PRJNA1122929
138240,102.100.100/138240,SAMN43264465,PRJNA1122929
138241,102.100.100/138241,SAMN43264466,PRJNA1122929
138242,102.100.100/138242,SAMN43264467,PRJNA1122929
138243,102.100.100/138243,SAMN43264468,PRJNA1122929
138244,102.100.100/138244,SAMN43264469,PRJNA1122929
138245,102.100.100/138245,SAMN43264470,PRJNA1122929
138247,102.100.100/138247,SAMN43264471,PRJNA1122929
138249,102.100.100/138249,SAMN43264473,PRJNA1122929
138253,102.100.100/138253,SAMN43264477,PRJNA1122929
138254,102.100.100/138254,SAMN43264478,PRJNA1122929
400940,102.100.100/400940,SAMN43264489,PRJNA1122929
400941,102.100.100/400941,SAMN43264490,PRJNA1122929
138057,102.100.100/138057,SAMN43264286,PRJNA1122929
