GENOME,SAMPLE
BPAM22-1_SAMN07482799_MAG_00000065,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000066,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000067,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000002,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000003,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000004,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000006,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000016,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000013,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000027,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000021,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000030,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000007,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000009,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000012,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000015,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000018,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000025,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000028,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000029,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000031,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000038,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000039,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000040,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000048,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000051,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000056,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000064,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000068,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000069,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482799_MAG_00000070,BPAM22-1_SAMN07482799_METAG
BPAM22-1_SAMN07482804_MAG_00000002,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000003,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000004,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000005,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000007,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000008,BPAM22-1_SAMN07482804_METAG
